Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
30 apr. 2022,8.740,11.802,981,2.065,9.436,Smartmeter
29 apr. 2022,8.737,11.782,981,2.064,9.436,Smartmeter
28 apr. 2022,8.736,11.770,981,2.059,9.435,Smartmeter
27 apr. 2022,8.717,11.770,980,2.059,9.434,Smartmeter
26 apr. 2022,8.715,11.760,980,2.054,9.433,Smartmeter
25 apr. 2022,8.713,11.746,980,2.053,9.432,Smartmeter
24 apr. 2022,8.705,11.746,971,2.053,9.432,Smartmeter
23 apr. 2022,8.697,11.746,962,2.053,9.432,Smartmeter
22 apr. 2022,8.695,11.741,962,2.042,9.432,Smartmeter
21 apr. 2022,8.693,11.733,962,2.035,9.431,Smartmeter
20 apr. 2022,8.692,11.727,962,2.028,9.431,Smartmeter
19 apr. 2022,8.690,11.722,962,2.021,9.431,Smartmeter
18 apr. 2022,8.673,11.722,955,2.021,9.429,Smartmeter
17 apr. 2022,8.650,11.722,951,2.021,9.429,Smartmeter
16 apr. 2022,8.643,11.722,942,2.021,9.428,Smartmeter
15 apr. 2022,8.643,11.705,942,2.018,9.427,Smartmeter
14 apr. 2022,8.642,11.699,942,2.009,9.427,Smartmeter
13 apr. 2022,8.641,11.690,942,2.004,9.426,Smartmeter
12 apr. 2022,8.640,11.678,942,2.000,9.425,Smartmeter
11 apr. 2022,8.639,11.659,942,1.998,9.425,Smartmeter
10 apr. 2022,8.621,11.659,940,1.998,9.424,Smartmeter
9 apr. 2022,8.598,11.659,940,1.998,9.423,Smartmeter
8 apr. 2022,8.597,11.637,940,1.997,9.422,Smartmeter
7 apr. 2022,8.597,11.611,940,1.996,9.421,Smartmeter
6 apr. 2022,8.596,11.586,940,1.996,9.421,Smartmeter
5 apr. 2022,8.595,11.558,940,1.996,9.420,Smartmeter
4 apr. 2022,8.593,11.525,940,1.996,9.418,Smartmeter
3 apr. 2022,8.570,11.525,939,1.996,9.415,Smartmeter
