Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
26 jun. 2021,7.682,9.938,671,1.474,8.511,Smartmeter
25 jun. 2021,7.681,9.937,670,1.461,8.511,Smartmeter
24 jun. 2021,7.680,9.934,670,1.457,8.510,Smartmeter
23 jun. 2021,7.679,9.932,670,1.453,8.509,Smartmeter
22 jun. 2021,7.678,9.930,670,1.440,8.508,Smartmeter
21 jun. 2021,7.676,9.928,670,1.438,8.507,Smartmeter
20 jun. 2021,7.674,9.928,663,1.438,8.507,Smartmeter
19 jun. 2021,7.670,9.928,656,1.438,8.506,Smartmeter
18 jun. 2021,7.669,9.925,656,1.431,8.505,Smartmeter
17 jun. 2021,7.669,9.923,656,1.417,8.505,Smartmeter
16 jun. 2021,7.668,9.921,655,1.400,8.505,Smartmeter
15 jun. 2021,7.667,9.919,655,1.388,8.504,Smartmeter
14 jun. 2021,7.666,9.917,655,1.374,8.503,Smartmeter
13 jun. 2021,7.663,9.917,637,1.374,8.502,Smartmeter
12 jun. 2021,7.660,9.917,626,1.374,8.502,Smartmeter
11 jun. 2021,7.660,9.915,625,1.360,8.502,Smartmeter
10 jun. 2021,7.659,9.913,625,1.345,8.501,Smartmeter
9 jun. 2021,7.658,9.910,624,1.331,8.500,Smartmeter
8 jun. 2021,7.658,9.909,624,1.320,8.499,Smartmeter
7 jun. 2021,7.657,9.906,624,1.306,8.498,Smartmeter
6 jun. 2021,7.655,9.906,620,1.306,8.497,Smartmeter
5 jun. 2021,7.650,9.906,619,1.306,8.496,Smartmeter
4 jun. 2021,7.649,9.904,618,1.293,8.496,Smartmeter
3 jun. 2021,7.648,9.901,618,1.284,8.495,Smartmeter
2 jun. 2021,7.647,9.898,617,1.269,8.495,Smartmeter
1 jun. 2021,7.647,9.898,617,1.253,8.494,Smartmeter
31 mei 2021,7.646,9.895,617,1.243,8.492,Smartmeter
30 mei 2021,7.643,9.895,602,1.243,8.490,Smartmeter
29 mei 2021,7.637,9.895,596,1.243,8.486,Smartmeter
28 mei 2021,7.636,9.893,596,1.232,8.483,Smartmeter
27 mei 2021,7.635,9.890,596,1.227,8.480,Smartmeter
26 mei 2021,7.634,9.887,596,1.222,8.477,Smartmeter
25 mei 2021,7.633,9.883,596,1.219,8.472,Smartmeter
24 mei 2021,7.630,9.883,591,1.219,8.469,Smartmeter
23 mei 2021,7.627,9.883,585,1.219,8.465,Smartmeter
22 mei 2021,7.621,9.883,582,1.219,8.463,Smartmeter
21 mei 2021,7.620,9.878,582,1.212,8.460,Smartmeter
20 mei 2021,7.619,9.875,582,1.198,8.457,Smartmeter
19 mei 2021,7.619,9.873,582,1.190,8.455,Smartmeter
18 mei 2021,7.618,9.871,581,1.182,8.452,Smartmeter
17 mei 2021,7.617,9.867,581,1.176,8.449,Smartmeter
16 mei 2021,7.612,9.867,577,1.176,8.446,Smartmeter
15 mei 2021,7.607,9.867,574,1.176,8.442,Smartmeter
14 mei 2021,7.606,9.866,574,1.172,8.439,Smartmeter
13 mei 2021,7.605,9.866,560,1.172,8.436,Smartmeter
12 mei 2021,7.604,9.863,560,1.158,8.434,Smartmeter
11 mei 2021,7.603,9.859,560,1.154,8.433,Smartmeter
10 mei 2021,7.602,9.856,560,1.150,8.431,Smartmeter
9 mei 2021,7.595,9.856,552,1.150,8.428,Smartmeter
8 mei 2021,7.591,9.856,545,1.150,8.422,Smartmeter
7 mei 2021,7.590,9.854,545,1.137,8.419,Smartmeter
6 mei 2021,7.589,9.849,545,1.128,8.412,Smartmeter
5 mei 2021,7.588,9.847,545,1.123,8.406,Smartmeter
4 mei 2021,7.587,9.844,545,1.119,8.401,Smartmeter
3 mei 2021,7.587,9.836,545,1.116,8.394,Smartmeter
2 mei 2021,7.584,9.836,540,1.116,8.389,Smartmeter
1 mei 2021,7.581,9.836,534,1.116,8.385,Smartmeter
30 apr. 2021,7.580,9.830,534,1.113,8.381,Smartmeter
29 apr. 2021,7.580,9.823,534,1.113,8.376,Smartmeter
28 apr. 2021,7.578,9.821,534,1.102,8.371,Smartmeter
27 apr. 2021,7.575,9.821,520,1.102,8.366,Smartmeter
26 apr. 2021,7.575,9.817,520,1.088,8.360,Smartmeter
25 apr. 2021,7.567,9.817,517,1.088,8.355,Smartmeter
24 apr. 2021,7.560,9.817,505,1.088,8.348,Smartmeter
23 apr. 2021,7.560,9.814,505,1.080,8.343,Smartmeter
22 apr. 2021,7.559,9.811,505,1.072,8.338,Smartmeter
21 apr. 2021,7.558,9.808,505,1.067,8.334,Smartmeter
20 apr. 2021,7.557,9.804,505,1.057,8.332,Smartmeter
19 apr. 2021,7.556,9.801,505,1.046,8.328,Smartmeter
18 apr. 2021,7.552,9.801,497,1.046,8.324,Smartmeter
17 apr. 2021,7.548,9.801,486,1.046,8.317,Smartmeter
16 apr. 2021,7.547,9.798,486,1.038,8.310,Smartmeter
15 apr. 2021,7.546,9.797,486,1.026,8.304,Smartmeter
14 apr. 2021,7.545,9.793,486,1.017,8.297,Smartmeter
13 apr. 2021,7.544,9.790,486,1.007,8.291,Smartmeter
12 apr. 2021,7.542,9.786,486,1.000,8.284,Smartmeter
11 apr. 2021,7.536,9.786,484,1.000,8.275,Smartmeter
10 apr. 2021,7.530,9.786,480,1.000,8.270,Smartmeter
9 apr. 2021,7.529,9.784,480,999,8.259,Smartmeter
8 apr. 2021,7.529,9.780,480,995,8.251,Smartmeter
7 apr. 2021,7.527,9.778,480,989,8.240,Smartmeter
6 apr. 2021,7.526,9.776,480,982,8.230,Smartmeter
5 apr. 2021,7.522,9.776,475,982,8.223,Smartmeter
4 apr. 2021,7.513,9.776,474,982,8.216,Smartmeter
3 apr. 2021,7.508,9.776,469,982,8.211,Smartmeter
2 apr. 2021,7.507,9.774,469,979,8.204,Smartmeter
1 apr. 2021,7.507,9.771,469,973,8.203,Smartmeter
31 mrt. 2021,7.506,9.768,469,965,8.202,Smartmeter
30 mrt. 2021,7.505,9.765,469,956,8.199,Smartmeter
29 mrt. 2021,7.504,9.762,469,949,8.194,Smartmeter
28 mrt. 2021,7.498,9.762,466,949,8.189,Smartmeter
27 mrt. 2021,7.489,9.762,463,949,8.185,Smartmeter
26 mrt. 2021,7.488,9.760,463,945,8.180,Smartmeter
25 mrt. 2021,7.487,9.758,463,939,8.174,Smartmeter
24 mrt. 2021,7.487,9.755,463,931,8.170,Smartmeter
23 mrt. 2021,7.486,9.751,463,929,8.164,Smartmeter
22 mrt. 2021,7.485,9.747,463,928,8.157,Smartmeter
21 mrt. 2021,7.482,9.747,459,928,8.149,Smartmeter
20 mrt. 2021,7.481,9.747,454,928,8.141,Smartmeter
19 mrt. 2021,7.479,9.746,454,922,8.134,Smartmeter
18 mrt. 2021,7.478,9.742,454,921,8.123,Smartmeter
17 mrt. 2021,7.477,9.734,454,917,8.116,Smartmeter
16 mrt. 2021,7.477,9.730,454,913,8.109,Smartmeter
15 mrt. 2021,7.476,9.726,454,911,8.103,Smartmeter
14 mrt. 2021,7.470,9.726,450,911,8.096,Smartmeter
13 mrt. 2021,7.463,9.726,447,911,8.091,Smartmeter
12 mrt. 2021,7.462,9.721,447,909,8.082,Smartmeter
11 mrt. 2021,7.461,9.716,447,909,8.076,Smartmeter
10 mrt. 2021,7.460,9.708,447,909,8.067,Smartmeter
9 mrt. 2021,7.459,9.703,447,908,8.061,Smartmeter
8 mrt. 2021,7.459,9.698,447,904,8.052,Smartmeter
7 mrt. 2021,7.451,9.698,446,904,8.041,Smartmeter
6 mrt. 2021,7.446,9.698,444,904,8.035,Smartmeter
5 mrt. 2021,7.445,9.694,444,899,8.026,Smartmeter
4 mrt. 2021,7.444,9.689,444,899,8.017,Smartmeter
3 mrt. 2021,7.444,9.686,444,898,8.010,Smartmeter
2 mrt. 2021,7.443,9.680,444,896,8.004,Smartmeter
1 mrt. 2021,7.442,9.675,444,896,7.996,Smartmeter
28 feb. 2021,7.434,9.675,443,896,7.987,Smartmeter
27 feb. 2021,7.430,9.675,441,896,7.980,Smartmeter
26 feb. 2021,7.429,9.671,441,892,7.976,Smartmeter
25 feb. 2021,7.428,9.665,441,889,7.974,Smartmeter
24 feb. 2021,7.427,9.656,441,887,7.969,Smartmeter
23 feb. 2021,7.427,9.652,441,884,7.965,Smartmeter
22 feb. 2021,7.426,9.648,441,883,7.960,Smartmeter
21 feb. 2021,7.422,9.648,439,883,7.957,Smartmeter
20 feb. 2021,7.411,9.648,438,883,7.952,Smartmeter
19 feb. 2021,7.411,9.645,438,881,7.945,Smartmeter
18 feb. 2021,7.410,9.641,438,879,7.939,Smartmeter
17 feb. 2021,7.409,9.635,438,879,7.934,Smartmeter
16 feb. 2021,7.408,9.630,438,878,7.925,Smartmeter
15 feb. 2021,7.407,9.621,438,878,7.913,Smartmeter
14 feb. 2021,7.400,9.621,436,878,7.900,Smartmeter
13 feb. 2021,7.392,9.621,434,878,7.889,Smartmeter
12 feb. 2021,7.391,9.617,434,876,7.876,Smartmeter
11 feb. 2021,7.391,9.612,434,874,7.866,Smartmeter
10 feb. 2021,7.390,9.606,434,873,7.854,Smartmeter
9 feb. 2021,7.389,9.599,434,872,7.844,Smartmeter
8 feb. 2021,7.388,9.590,434,872,7.828,Smartmeter
7 feb. 2021,7.382,9.590,434,872,7.815,Smartmeter
6 feb. 2021,7.376,9.590,434,872,7.803,Smartmeter
5 feb. 2021,7.375,9.582,434,872,7.792,Smartmeter
4 feb. 2021,7.374,9.576,434,872,7.784,Smartmeter
3 feb. 2021,7.373,9.571,434,871,7.774,Smartmeter
2 feb. 2021,7.372,9.562,434,871,7.763,Smartmeter
1 feb. 2021,7.371,9.557,434,871,7.751,Smartmeter
31 jan. 2021,7.365,9.557,433,871,7.740,Smartmeter
30 jan. 2021,7.357,9.557,432,871,7.731,Smartmeter
29 jan. 2021,7.356,9.550,432,871,7.718,Smartmeter
28 jan. 2021,7.355,9.540,432,871,7.707,Smartmeter
27 jan. 2021,7.354,9.533,432,871,7.699,Smartmeter
26 jan. 2021,7.353,9.528,432,871,7.692,Smartmeter
25 jan. 2021,7.352,9.522,432,870,7.681,Smartmeter
24 jan. 2021,7.345,9.522,432,870,7.675,Smartmeter
23 jan. 2021,7.336,9.522,432,870,7.665,Smartmeter
22 jan. 2021,7.336,9.515,432,870,7.658,Smartmeter
21 jan. 2021,7.335,9.506,432,870,7.652,Smartmeter
20 jan. 2021,7.334,9.498,432,870,7.645,Smartmeter
19 jan. 2021,7.334,9.487,432,870,7.636,Smartmeter
18 jan. 2021,7.333,9.480,432,870,7.627,Smartmeter
17 jan. 2021,7.325,9.480,432,870,7.618,Smartmeter
16 jan. 2021,7.313,9.480,432,870,7.609,Smartmeter
15 jan. 2021,7.311,9.473,432,870,7.601,Smartmeter
14 jan. 2021,7.311,9.468,432,870,7.591,Smartmeter
13 jan. 2021,7.309,9.459,432,870,7.582,Smartmeter
12 jan. 2021,7.309,9.451,432,870,7.578,Smartmeter
11 jan. 2021,7.308,9.443,432,870,7.568,Smartmeter
10 jan. 2021,7.300,9.443,432,870,7.557,Smartmeter
9 jan. 2021,7.293,9.443,432,870,7.548,Smartmeter
1 jan. 2021,7.261,9.398,431,870,7.480,Inhuizing
